,index,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
0,235,BANNER PLACE SANDWICH SHOP,Routine,12/7/2018,87,12770,COIT,#160,75251,12770 COIT RD #160,12/1/2018,FY2019,32.9216334,-96.76834579999999,Meal_Takeaway,5,4
1,281,BENIHANA,Routine,10/22/2019,83,7775,BANNER,,75251,7775 BANNER DR,10/1/2019,FY2020,32.9216471,-96.7729473,Restaurant,4.2,2025
2,646,CENTRAL CAFE,Routine,5/18/2018,90,12712,PARK CENTRAL,#B100,75251,12712 PARK CENTRAL DR #B100,5/1/2018,FY2018,32.9213173,-96.776298,Bakery,4.1,28
3,898,CORNER BAKERY CAFE,Routine,1/9/2020,93,5225,BELTLINE,,75251,5225 BELTLINE RD 258,1/1/2020,FY2020,32.9546746,-96.8174386,Bakery,4.2,451
4,1449,EVA CAFE,Routine,9/17/2019,80,12404,PARK CENTRAL,#110,75251,12404 PARK CENTRAL DR #110,9/1/2019,FY2019,32.9171684,-96.7752828,Restaurant,4.5,2
5,1539,FLO'S CAFE,Routine,9/6/2019,86,12271,COIT,,75251,12271 COIT RD,9/1/2019,FY2019,32.9164456,-96.77027,,,
6,1677,GATEWAY NEWSTAND,Routine,5/18/2018,92,12770,MERIT,#123,75251,12770 MERIT DR #123,5/1/2018,FY2018,32.923131,-96.77144129999999,,,
7,1797,GREEN OAKS HOSPITAL DIETARY,Routine,12/12/2019,93,7808,CLODUS FIELDS,,75251,7808 CLODUS FIELDS DR,12/1/2019,FY2020,32.9130884,-96.7720329,,,
8,2098,JACK IN THE BOX,Routine,7/5/2019,90,7940,LBJ,,75251,7940 LBJ FRWY,7/1/2019,FY2019,32.92312,-96.76962160000001,Restaurant,3.9,954
9,2655,MAASAI GRILL,Follow-up,2/6/2019,81,8059,LBJ,,75251,8059 LBJ FRWY,2/1/2019,FY2019,32.9252676,-96.76759279999999,,,
10,2844,MERIT TOWER CAFE,Routine,9/17/2019,90,12222,MERIT,#R600,75251,12222 MERIT DR #R600,9/1/2019,FY2019,32.9140152,-96.7715291,,,
11,2966,MURPHY'S DELI,Routine,11/11/2019,84,12770,MERIT DR,#112,75251,12770 MERIT DR #112,11/1/2019,FY2020,32.923131,-96.77144129999999,,,
12,3506,R & R CAFE,Follow-up,7/5/2019,90,12221,MERIT,#140,75251,12221 MERIT DR #140,7/1/2019,FY2019,32.9145332,-96.7724035,,,
13,3507,R & R CAFE,Routine,7/22/2019,84,12377,MERIT,#280,75251,12377 MERIT DR #280,7/1/2019,FY2019,32.915835,-96.7730849,,,
14,3567,RESIDENCE INN PARK CENTRL,Routine,2/20/2019,92,7642,LBJ,,75251,7642 LBJ FRWY,2/1/2019,FY2019,32.9228686,-96.7748688,,,
15,3610,RIO BRAVO MEXICAN RESTAURANT SEAFOOD & BAR,Routine,12/6/2019,85,8102,LBJ,#100,75251,8102 LBJ FRWY #100,12/1/2019,FY2020,32.922166,-96.76776249999999,,,
16,4034,STARBUCKS,Routine,12/6/2019,87,3620,CAMP WISDOM,,75251,3620 W CAMP WISDOM RD,12/1/2019,FY2020,32.6618775,-96.87856359999999,,,
17,4199,SUNDRY,Routine,11/1/2018,90,12770,MERIT,#130,75251,12770 MERIT DR #130,11/1/2018,FY2019,32.923131,-96.77144129999999,,,
18,4233,SUSHI AXIOM,Routine,9/4/2019,88,5225,BELTLINE,#240,75251,5225 BELTLINE RD #240,9/1/2019,FY2019,32.9546746,-96.8174386,Bakery,4.2,451
19,4266,T BONE PICKENS,Routine,12/12/2019,100,12477,MERIT,,75251,12477 MERIT DR,12/1/2019,FY2020,32.9180303,-96.773909,,,
20,4304,TACO CASA,Routine,9/17/2019,80,12950,COIT,#B,75251,12950 COIT RD #B,9/1/2019,FY2019,32.9231761,-96.76878959999999,Restaurant,4.2,252
21,4411,TASTE DATE CAFE,Routine,1/9/2019,80,8131,LBJ,#150,75251,8131 LBJ FRWY STE #150,1/1/2019,FY2019,32.92571,-96.765619,,,
22,4911,WESTIN (BANQUET KITCHEN),Routine,12/12/2019,99,12720,MERIT,,75251,12720 MERIT DR,12/1/2019,FY2020,32.9220774,-96.7717387,Restaurant,3.1,13
23,5013,WINSTON SUNDRY SHOP,Routine,11/19/2018,93,12400,COIT,#130,75251,12400 COIT RD #130,11/1/2018,FY2019,32.9175249,-96.76873739999999,,,
24,5046,YIDDISHE KUP,Routine,11/13/2019,97,12324,MERIT,,75251,12324 MERIT DR,11/1/2019,FY2020,32.9158775,-96.7717505,,,
