,Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
0,"""LET'S DO LUNCH""",Routine,8/28/2019,100,1720,REGAL,#105,75235,1720 REGAL ROW #105,8/1/2019,FY2019,32.8361495,-96.8720429,,,
1,$ STUFF & MORE,Routine,12/28/2018,93,4702,EAST GRAND,,75223,4702 EAST GRAND AVE,12/1/2018,FY2019,32.7854819,-96.7559555,,,
2,A & A MART,Routine,5/14/2019,81,309,MARSALIS,,75203,309 S MARSALIS AVE,5/1/2019,FY2019,32.7444815,-96.8160463,Restaurant,3.8,717
3,A & J BAKERY,Routine,4/30/2019,92,3515,OAK LAWN,,75219,3515 OAK LAWN AVE,4/1/2019,FY2019,32.8123799,-96.8054238,Restaurant,4,60
4,A & K MART,Routine,2/7/2019,98,5723,SINGLETON,,75212,5723 SINGLETON BLVD,2/1/2019,FY2019,32.7789351,-96.9141423,Restaurant,4.3,23
5,A AND A'S QUICKSTOP,Routine,12/11/2019,90,4307,DUNCANVILLE,#101,75236,4307 DUNCANVILLE RD #101,12/1/2019,FY2020,32.6839167,-96.9090143,,,
6,A DONUT,Routine,12/20/2018,91,2829,WEBB CHAPEL,102A,75238,2829 WEBB CHAPEL EXT 102A,12/1/2018,FY2019,32.8571455,-96.8711577,Bakery,4.4,61
7,A LA CARTE CAKES AND CATE,Routine,12/4/2019,80,2750,NORTHAVEN,#304,75220,2750 NORTHAVEN RD #304,12/1/2019,FY2020,32.9032146,-96.8857448,,,
8,A LOUISIANA WING COMPANY,Routine,1/3/2020,89,2860,LEDBETTER,,75216,2860 E LEDBETTER DR,1/1/2020,FY2020,32.6941077,-96.7721932,,,
9,A MOTIONS FOOD MART,Routine,2/22/2018,80,829,CORINTH ST,,75203,829 S CORINTH ST RD,2/1/2018,FY2018,32.7394658,-96.7988631,Restaurant,,
10,A PLUS GROCERY BEER & WINE,Routine,2/14/2019,82,4407,MOCKINGBIRD,,75209,4407 W MOCKINGBIRD LN,2/1/2019,FY2019,32.836885,-96.830941,Restaurant,4.3,44
11,A SANDWICH SHOP,Routine,1/28/2019,92,8333,DOUGLAS,#C140,75225,8333 DOUGLAS AVE #C140,1/1/2019,FY2019,32.8640379,-96.8094783,Restaurant,5,1
12,A STEP UP,Routine,2/27/2019,97,3720,WALNUT HILL,#115,75229,3720 WALNUT HILL LN #115,2/1/2019,FY2019,32.8796855,-96.8552837,Meal_Delivery,4,169
13,A TASTE OF WAYS CATERING,Routine,12/11/2019,97,2949,KIEST,#A,75216,2949 E KIEST BLVD #A,12/1/2019,FY2020,32.7263344,-96.7864191,Restaurant,4.6,97
14,A TO Z FOOD MART,Routine,6/17/2019,97,2120,ST AUGUSTINE,#130,75227,2120 N ST AUGUSTINE RD #130,6/1/2019,FY2019,32.7493863,-96.6561699,Restaurant,4.4,96
15,A W BROWN FELLOWSHIP CHURCH,Routine,10/23/2019,98,6901,WESTMORELAND,,75237,6901 S WESTMORELAND RD,10/1/2019,FY2020,32.6635376,-96.8822667,,,
16,A WOK EXPRESS,Routine,12/3/2019,80,10349,FERGUSON,,75228,10349 FERGUSON RD,12/1/2019,FY2020,32.8364397,-96.6723218,,,
17,A-MOTION FOOD MART,Routine,3/14/2019,80,829,CORINTH,,75203,829 S CORINTH,3/1/2019,FY2019,32.7394658,-96.7988631,Restaurant,,
18,A-PLUS EXPRESS KIOSK,Routine,12/7/2017,99,1500,MARILLA,1ST,75201,1500 MARILLA ST 1ST,12/1/2017,FY2018,32.7764068,-96.7970783,Restaurant,2.8,4
19,A.W. BROWN,Routine,11/11/2019,98,5701,REDBIRD CENTER,,75115,5701 REDBIRD CENTER DR,11/1/2019,FY2020,32.6776834,-96.8812487,,,
20,A&A PIZZA,Routine,9/30/2019,92,900,CORINTH,,75203,900 S CORINTH ST,9/1/2019,FY2019,32.7388803,-96.7983201,Restaurant,4.5,95
21,A&R REVELES MEXICAN BAKERY,Routine,3/31/2019,88,2610,SYLVAN,,75212,2610 SYLVAN AVE,3/1/2019,FY2019,32.7761051,-96.8354123,,,
22,AA SHELL,Routine,2/15/2019,90,11404,STEMMONS,,75229,11404 N STEMMONS FRWY,2/1/2019,FY2019,32.8964339,-96.8970427,Gas_Station,3.6,14
23,AB WINGS,Routine,12/2/2019,91,3628,FRANKFORD,#290,75287,3628 FRANKFORD RD #290,12/1/2019,FY2020,32.9955472,-96.8543978,Restaurant,4.5,202
24,ABACUS,Routine,3/19/2019,81,4511,MCKINNEY,,75205,4511 MCKINNEY AVE,3/1/2019,FY2019,32.8216282,-96.7885136,Restaurant,4.6,376
25,ABBY RESTAURANT,Routine,4/13/2019,97,10788,HARRY HINES,#G-08,75220,10788 HARRY HINES BLVD #G-08,4/1/2019,FY2019,32.8741288,-96.8828494,Restaurant,3.4,9
26,ABHIRUCHI CURRIES,Routine,3/24/2017,80,19021,MIDWAY,#200,75287,19021 MIDWAY RD #200,3/1/2017,FY2017,33.0110139,-96.844229,Meal_Takeaway,4,480
27,ABRAMS DELI,Routine,2/14/2019,88,9330,LBJ,#100,75231,9330 LBJ FRWY #100,2/1/2019,FY2019,32.9121102,-96.7385726,,,
28,ABRAMS FOOD & BEER WINE,Routine,5/7/2019,88,12121,ABRAMS,,75243,12121 ABRAMS RD,5/1/2019,FY2019,32.913458,-96.735984,Restaurant,4,120
29,ABRAMS FOOD MART,Routine,7/9/2019,85,9730,ABRAMS,#114,75243,9730 ABRAMS RD #114,7/1/2019,FY2019,32.9086683,-96.7349317,Meal_Takeaway,3.8,88
30,ABRAMS MOBIL,Routine,2/20/2019,95,6500,NORTHWEST,,75231,6500 E NORTHWEST HWY,2/1/2019,FY2019,32.8564955,-96.7495053,,,
31,ABUELITA PANADERIA,Routine,7/5/2018,96,3701,NORTHWEST,#186,75220,3701 W NORTHWEST HWY #186,7/1/2018,FY2018,32.8622738,-96.8573543,,,
32,ABUGEDA GROCERY,Routine,11/14/2019,94,12101,GREENVILLE,#107,75243,12101 GREENVILLE AVE #107,11/1/2019,FY2020,32.9131512,-96.7461457,Restaurant,4.7,1096
33,ABYSSINIA MARKET,Routine,10/3/2019,93,9191,FOREST,#1A,75243,9191 FOREST LN #1A,10/1/2019,FY2020,32.9095931,-96.7437958,Restaurant,4.2,154
34,AC RESIDENCE INN BAR,Routine,12/2/2019,92,5460,JAMES TEMPLE,,75240,5460 JAMES TEMPLE DR,12/1/2019,FY2020,32.9289216,-96.8164688,,,
35,ACA LAS TORTAS,Routine,7/3/2019,80,4420,WORTH,,75246,4420 WORTH ST,7/1/2019,FY2019,32.7945863,-96.7713448,Restaurant,4.7,152
36,ACADEMIA DE LA SALUD,Routine,3/6/2019,92,14215,COIT,#124,75234,14215 COIT RD #124,3/1/2019,FY2019,32.9429888,-96.7709111,,,
37,ACADIA ASSISTED LIVING,Routine,6/19/2019,95,3344,FOREST,,75234,3344 FOREST LN,6/1/2019,FY2019,32.9089988,-96.8667172,,,
38,ACAPULCO,Routine,9/24/2019,85,300,LEDBETTER,#100,75216,300 E LEDBETTER DR #100,9/1/2019,FY2019,32.6843841,-96.820236,,,
39,ACENSION COFFEE ROASTERS LP,Routine,1/8/2019,97,2500,FARRINGTON,#180,75207,2500 FARRINGTON ST #180,1/1/2019,FY2019,32.8005866,-96.8398318,,,
40,ACTION NUTRITION,Routine,10/19/2016,90,3701,NORTHWEST,#250,75220,3701 W NORTHWEST HWY #250,10/1/2016,FY2017,32.8622738,-96.8573543,,,
41,ADAIR'S CAFE,Routine,11/25/2019,95,2624,COMMERCE,,75226,2624 COMMERCE ST,11/1/2019,FY2020,32.7826034,-96.7850885,Meal_Takeaway,4.4,1300
42,ADAM'S KABOB & GRILL,Routine,2/27/2019,94,8024,SPRING VALLEY,,75240,8024 SPRING VALLEY RD,2/1/2019,FY2019,32.9391932,-96.7681575,Restaurant,3.7,352
43,ADELFA BOTELLO CALLEJO,Routine,11/21/2019,90,7817,MILITARY,,75228,7817 MILITARY PKWY,11/1/2019,FY2020,32.771637,-96.6857948,,,
44,ADELMO'S,Routine,9/5/2019,81,5450,LOVERS,#225,75209,5450 W LOVERS LN #225,9/1/2019,FY2019,32.8506131,-96.8192736,,,
45,ADERRT GRILL & SALAD,Routine,8/29/2019,75,13410,PRESTON,#J,75240,13410 PRESTON RD #J,8/1/2019,FY2019,32.930472,-96.8024885,Restaurant,4.6,218
46,ADI'S SHELL,Routine,6/13/2019,86,2313,BUCKNER,#100,75227,2313 S BUCKNER BLVD #100,6/1/2019,FY2019,32.7526692,-96.683172,Gas_Station,4,107
47,ADMIRALS CONCRETE FOUNDATION CLUB,Routine,2/19/2019,100,2500,VICTORY,,75205,2500 VICTORY AVE,2/1/2019,FY2019,32.7903143,-96.810148,Restaurant,1,1
48,ADVENTURE LANDING,Routine,10/15/2019,97,17717,COIT,,75252,17717 COIT RD,10/1/2019,FY2020,32.9917815,-96.7689314,,,
49,AFC SUSHI,Routine,9/16/2019,98,1441,BECKLEY,,75208,1441 N BECKLEY AVE,9/1/2019,FY2019,32.7609193,-96.8250881,,,
