restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long,Unique Join
2204,Routine,06/28/2019,95,2204,ELM,,75201,3922 SIMPSON ST,Jun 2019,FY2019,39.811585,-94.834959,
13209,Routine,08/07/2019,96,13209,C F HAWN,,75253,1910 S HARWOOD ST,Aug 2019,FY2019,32.6775,-96.604348,
7-11,Routine,12/18/2019,80,1102,KIEST,,75224,1201 ELM ST #LL09,Dec 2019,FY2020,32.705756,-96.840532,
7-11,Routine,04/15/2019,93,225,COLORADO,,75203,4103 LEMMON AVE,Apr 2019,FY2019,32.758575,-96.820548,
7-11,Routine,02/25/2019,84,10468,GARLAND,,75218,10969 N STEMMONS FRWY,Feb 2019,FY2019,32.842646,-96.69117,
7-11,Routine,01/08/2019,90,2502,ROYAL,#101,75229,5240 SPRING VALLEY RD,Jan 2019,FY2019,33.237448,-97.112794,
"""LET'S DO LUNCH""",Routine,08/28/2019,100,1720,REGAL,#105,75235,2704 ELM ST,Aug 2019,FY2019,32.836816,-96.872095,
"""LET'S DO LUNCH""",Routine,02/15/2019,93,1720,REGAL,#105,75235,2704 WORTHINGTON WAY,Feb 2019,FY2019,32.836816,-96.872095,
1-STOP SHOP,Routine,12/05/2019,91,1512,BELTLINE,#2,75253,238 W ILLINOIS AVE,Dec 2019,FY2020,32.681431,-96.595947,
12 CUTS STEAK HOUSE,Routine,10/30/2019,91,18010,DALLAS,,75287,2821 GREENVILLE AVE,Oct 2019,FY2020,32.99597,-96.829032,
13910 SHELL,Routine,12/02/2019,96,13910,CENTRAL,,75243,214 N AKARD ST,Dec 2019,FY2020,32.937077,-96.748821,
15695 HEIGHTS PREP,Routine,10/22/2019,91,2806,CANADA,,75212,6610 LAKE JUNE RD,Oct 2019,FY2020,32.792643,-96.866047,
15695 HEIGHTS PREP,Routine,04/03/2019,97,2806,CANADA,,75212,6614 E NORTHWEST HWY,Apr 2019,FY2019,32.792643,-96.866047,
15710 FOODA-CHASE TOWER,Routine,05/29/2019,96,2200,ROSS,,75201,3818 W ILLINOIS AVE,May 2019,FY2019,33.655467,-84.461266,
15710 FOODA-CHASE TOWER,Routine,04/22/2019,78,2200,ROSS,,75201,3819 MAPLE AVE,Apr 2019,FY2019,33.655467,-84.461266,
15710 FOODA-CHASE TOWER,Routine,03/18/2019,75,2200,ROSS,,75201,3820 W CLARENDON DR,Mar 2019,FY2019,33.655467,-84.461266,
15734 3D CANTINA,Routine,10/31/2019,82,2707,MLK,#130,75215,6057 SKILLMAN ST,Oct 2019,FY2020,0,0,
15734 3D CANTINA,Routine,03/27/2019,92,2707,MLK,#130,75215,606 N HAMPTON RD,Mar 2019,FY2019,0,0,
15742 TEXAS FOOD MART,Routine,07/19/2019,82,2984,WHEATLAND,#E,75037,7812 GREAT TRINITY FOREST WAY #300,Jul 2019,FY2019,32.647456,-96.869413,
15742 TEXAS FOOD MART,Routine,05/23/2019,99,2984,WHEATLAND,#E,75037,7815 GARLAND RD,May 2019,FY2019,32.647456,-96.869413,
15757 JAZEN TEA,Routine,01/07/2019,96,11613,CENTRAL,#106A,75243,14010 COIT RD,Jan 2019,FY2019,32.906744,-96.769361,
15789 THE MERCHANT AT LOWER GREENVILLE,Routine,06/14/2019,96,1924,GREENVILLE,,75206,3206 W DAVIS ST #B,Jun 2019,FY2019,37.532278,-77.471571,
15805 DOTTEA,Routine,12/17/2019,93,14902,PRESTON,#500,75254,2324 W CLARENDON DR,Dec 2019,FY2020,32.951326,-96.803474,
1600 CAFE,Routine,11/21/2019,94,1600,VICEROY,#125,75235,2500 VICTORY AVE PLZA #1027,Nov 2019,FY2020,32.834702,-96.869462,
1600 CAFE,Routine,06/11/2019,81,1600,VICEROY,#125,75235,2500 VICTORY AVE PLZA #1029,Jun 2019,FY2019,32.834702,-96.869462,
"16096 TRINITY BASIN PREPARATORY, INC",Routine,10/08/2019,100,2524,LEDBETTER,BU4,75237,5365 SPRING VALLEY RD #101,Oct 2019,FY2020,32.691159,-96.859592,
"16096 TRINITY BASIN PREPARATORY, INC",Routine,04/18/2019,97,2524,LEDBETTER,BU4,75237,5365 SPRING VALLEY RD #124,Apr 2019,FY2019,32.691159,-96.859592,
16152 VIDORRA,Routine,05/20/2019,84,2642,MAIN,#100,75226,5956 SHERRY LN #1700,May 2019,FY2019,41.678741,-70.026921,
16159 CORELOGIC MICROMARKET,Routine,03/07/2019,100,3001,HACKBERRY,,75063,7995 LBJ STE #118,Mar 2019,FY2019,35.6015,-97.572176,
16161 AH BELO DALLAS MORNING NEWS MICROMARKET,Routine,01/25/2019,99,1954,COMMERCE,,75201,325 N SAINT PAUL ST #P5,Jan 2019,FY2019,32.780922,-96.794296,
16162 - KPMG,Routine,06/24/2019,95,2323,ROSS,,75201,4302 BRYAN ST,Jun 2019,FY2019,32.787783,-97.354094,
1717 RESTAURANT,Routine,09/30/2019,91,1717,HARWOOD,,75201,2660 ROBERT B CULLUM BLVD,Sep 2019,FY2019,32.787754,-96.8002,
1717 RESTAURANT,Routine,03/22/2019,96,1717,HARWOOD,,75201,2682 MYRTLE SPRING AVE #115,Mar 2019,FY2019,32.787754,-96.8002,
20 FEET,Routine,08/29/2019,97,1160,PEAVY,,75218,1400 HI LINE DR #120,Aug 2019,FY2019,42.588967,-83.942927,
20 FEET,Routine,03/28/2019,90,1160,PEAVY,,75218,1400 N RIVERFRONT BLVD,Mar 2019,FY2019,42.588967,-83.942927,
2100 DELI,Routine,06/28/2019,80,2100,MCKINNEY,#150,75201,3520 GREENVILLE AVE,Jun 2019,FY2019,32.791859,-96.803195,
2817 MAPLE LLC,Routine,09/19/2019,86,2817,MAPLE,#210,75201,6887 SHADY BROOK LN,Sep 2019,FY2019,40.501132,-78.416087,
2817 MAPLE LLC,Routine,03/27/2019,92,2817,MAPLE,#210,75201,6901 MILITARY PKWY,Mar 2019,FY2019,40.501132,-78.416087,
3 FORKS RESTAURANT,Routine,08/26/2019,88,17776,DALLAS,,75287,2800 ROUTH ST #170,Aug 2019,FY2019,32.991679,-96.828962,
3 FORKS RESTAURANT,Routine,02/28/2019,90,17776,DALLAS,,75287,2801 ALLEN ST #180,Feb 2019,FY2019,32.991679,-96.828962,
3015 AT TRINITY GROVES,Routine,12/24/2019,98,3015,GULDEN,#100,75212,8055 S LOOP 12,Dec 2019,FY2020,32.779272,-96.827706,
3015 AT TRINITY GROVES,Routine,04/18/2019,96,3015,GULDEN,#100,75212,8059 LBJ FRWY,Apr 2019,FY2019,32.779272,-96.827706,
303 BAR & GRILL,Routine,12/27/2019,97,303,DAVIS,,75208,8112 S HAMPTON RD,Dec 2019,FY2020,42.640152,-92.054562,
303 BAR & GRILL,Routine,11/13/2019,76,303,DAVIS,,75208,8115 PRESTON RD #140,Nov 2019,FY2020,33.302557,-96.40284,
303 BAR & GRILL,Routine,05/16/2019,83,303,DAVIS,,75208,8117 E RL THORNTON FRWY,May 2019,FY2019,33.302557,-96.40284,
303 BAR & GRILL,Routine,04/16/2019,73,303,DAVIS,,75208,8120 E RL THORNTON FRWY,Apr 2019,FY2019,33.302557,-96.40284,
303 BAR & GRILL (BAR AREA),Routine,11/13/2019,94,303,DAVIS,,75208,8120 W CAMP WISDOM RD FLR 1,Nov 2019,FY2020,33.302557,-96.40284,
3131 LOUNGE,Routine,09/30/2019,100,3131,MAIN,,75219,8687 N CENTRAL EXPW,Sep 2019,FY2019,40.556674,-75.288257,
3ELEVEN KITCHEN & COCKTAILS,Routine,11/07/2019,88,311,MARKET,#100,75202,8390 N STEMMONS FRWY #B,Nov 2019,FY2020,32.781443,-96.80673,
3ELEVEN KITCHEN & COCKTAILS,Routine,05/28/2019,80,311,MARKET,#100,75202,8390 N STEMMONS FRWY A,May 2019,FY2019,32.781443,-96.80673,
4 SEASONS FOOD MART,Routine,10/14/2019,85,19090,MARSH,,75287,3102 OAK LAWN AVE #110,Oct 2019,FY2020,33.011386,-96.857189,
4 SEASONS FOOD MART,Routine,04/16/2019,92,19090,MARSH,,75287,3102 OAK LAWN AVE #144,Apr 2019,FY2019,33.011386,-96.857189,
45 MINT,Routine,08/21/2019,97,14902,PRESTON,#512B,75254,2326 N HENDERSON AVE,Aug 2019,FY2019,32.951326,-96.803474,
5 STAR CHEVRON,Routine,02/21/2019,90,3301,FORT WORTH,,75211,9222 JOHN W. CARPENTER FRWY,Feb 2019,FY2019,32.753338,-96.874373,
50286 SLAYTER'S 50/50 UPSTAIRS BAR (2ND FL),Routine,02/15/2019,100,2817,GREENVILLE,,75206,6867 GREENVILLE AVE,Feb 2019,FY2019,32.822958,-96.770158,
6-TWELVE FOOD STORE,Routine,03/31/2019,93,1221,HAMPTON,,75208,1722 ROUTH ST STE #110,Mar 2019,FY2019,32.76083,-96.856752,
6-TWELVE FOOD STORE #102,Routine,11/07/2019,80,1910,EDGEFIELD,,75224,3105 W DAVIS ST,Nov 2019,FY2020,32.726369,-96.84461,
7 - ELEVEN #35421,Routine,10/15/2019,93,10804,PRESTON,,75230,116 W JEFFERSON BLVD,Oct 2019,FY2020,32.895179,-96.803854,
7- ELEVEN CONVENIENCE STORE #21368C,Routine,09/19/2019,94,2120,GREENVILLE,,75206,3636 FRANKFORD RD 390,Sep 2019,FY2019,38.064016,-79.111132,
7-11 #18765,Routine,11/08/2019,83,111,CARROLL,,75226,12107 ABRAMS RD,Nov 2019,FY2020,32.791767,-96.76778,
7-11 #25080,Routine,01/02/2019,98,17605,MIDWAY,,75252,2741 N STEMMONS FRWY,Jan 2019,FY2019,32.987624,-96.842217,
7-11 #26151,Routine,06/21/2019,80,1410,ILLINOIS,,75216,2222 FORT WORTH AVE #160,Jun 2019,FY2019,32.720022,-96.80427,
7-11 #27529,Routine,10/07/2019,98,18101,COIT,,75252,2838 W DAVIS ST,Oct 2019,FY2020,32.997999,-96.7679,
7-11CONVENIENCE STORE #33441,Routine,03/18/2019,98,2608,ELM,,75226,5601 SEARS ST,Mar 2019,FY2019,41.927221,-87.851575,
7-ELEVEN,Routine,12/09/2019,89,3230,DAVIS,,75211,909 N WASHINGTON AVE,Dec 2019,FY2020,32.749487,-96.873869,
7-ELEVEN,Routine,11/07/2019,82,302,MARSALIS,,75203,8076 SPRING VALLEY RD,Nov 2019,FY2020,32.751247,-96.815643,
7-ELEVEN,Routine,10/03/2019,80,10998,HARRY HINES,,75220,11945 FORESTGATE DR,Oct 2019,FY2020,32.880653,-96.885341,
7-ELEVEN,Routine,10/15/2019,91,11803,PRESTON,,75230,14902 PRESTON RD #512A,Oct 2019,FY2020,32.909824,-96.80406,
7-ELEVEN,Routine,06/21/2019,81,2990,LOMBARDY,#101,75220,7815 GREAT TRINITY FOREST WAY,Jun 2019,FY2019,32.866403,-96.875618,
7-ELEVEN,Routine,05/09/2019,86,1023,HAMPTON,,75208,10508 HARRY HINES BLVD,May 2019,FY2019,32.735232,-96.856857,
7-ELEVEN,Routine,05/24/2019,96,1805,SYLVAN,,75208,2826 ELSIE FAYE HEGGINS,May 2019,FY2019,32.767931,-96.835774,
7-ELEVEN,Routine,03/11/2019,80,14300,MONTFORT,,75240,2259 ANSON AVE,Mar 2019,FY2019,32.943596,-96.814362,
7-ELEVEN,Routine,03/09/2019,91,2607,STEMMONS,,75207,5601 LEMMON AVE,Mar 2019,FY2019,32.80636,-96.840878,
7-ELEVEN,Routine,02/09/2019,94,1985,NORTHWEST,,75220,3254 W CAMP WISDOM RD,Feb 2019,FY2019,32.86801,-96.910412,
7-ELEVEN,Routine,02/08/2019,92,3230,DAVIS,,75211,909 W DAVIS ST,Feb 2019,FY2019,32.749487,-96.873869,
7-ELEVEN,Routine,01/29/2019,80,2802,FITZHUGH,,75204,6521 ABRAMS RD,Jan 2019,FY2019,32.81512,-96.786698,
7-ELEVEN #12200,Routine,10/08/2019,93,2529,OAK LAWN,,75219,5410 LBJ FRWY,Oct 2019,FY2020,32.804923,-96.813435,
7-ELEVEN #18717,Routine,10/21/2019,80,2223,BECKLEY,,75224,4023 LEMMON AVE,Oct 2019,FY2020,32.720697,-96.82287,
7-ELEVEN #20769,Routine,02/12/2019,86,10340,FOREST,#106,75243,10788 HARRY HINES BLVD E28,Feb 2019,FY2019,32.909001,-96.708075,
7-ELEVEN #26771C,Routine,01/23/2019,91,18118,MIDWAY,,75252,2911 LOMBARDY LN #101,Jan 2019,FY2019,32.996971,-96.843771,
7-ELEVEN #27206,Routine,02/26/2019,91,13601,C F HAWN,,75253,2115 BUTLER ST,Feb 2019,FY2019,32.676281,-96.601555,
7-ELEVEN #34102,Routine,01/10/2019,84,2061,FORT WORTH,,75208,3500 GOLDMAN ST,Jan 2019,FY2019,32.76258,-96.855964,
7-ELEVEN #34113,Routine,12/23/2019,89,11363,NORTHWEST,,75238,13040 COIT RD,Dec 2019,FY2020,32.864246,-96.68352,
7-ELEVEN #34120,Routine,10/17/2019,89,1295,COMMERCE,,75208,18305 MARSH LN,Oct 2019,FY2020,28.439586,-96.414538,
7-ELEVEN #34997,Routine,02/26/2019,96,1010,ROSS,,75221,10230 HARRY HINES BLVD #100,Feb 2019,FY2019,39.411823,-84.582795,
7-ELEVEN #35386B,Routine,10/09/2019,88,2503,LEMMON,,75204,525 E JEFFERSON BLVD #C,Oct 2019,FY2020,32.802827,-96.791805,
7-ELEVEN #35395B,Routine,05/07/2019,80,3300,ILLINOIS,,75211,9208 E RL THORNTON FRWY #203,May 2019,FY2019,31.991575,-102.116238,
7-ELEVEN #35402,Routine,03/31/2019,87,2821,WALTON WALKER,,75211,6929 TOWN NORTH DR,Mar 2019,FY2019,32.712596,-96.909595,
7-ELEVEN #35402,Routine,03/18/2019,86,2821,WALTON WALKER,,75211,6930 ALPHA RD,Mar 2019,FY2019,32.712596,-96.909595,
7-ELEVEN #35409B,Routine,03/09/2019,90,1607,INWOOD,,75234,2500 VICTORY AVE TERR #5009,Mar 2019,FY2019,32.811771,-96.849259,
7-ELEVEN #35415,Routine,01/16/2019,81,15050,PRESTON,,75254,2353 FLORA ST,Jan 2019,FY2019,32.953476,-96.80384,
7-ELEVEN #35422A,Routine,02/06/2019,86,10120,NORTHWEST,,75218,10306 FERGUSON RD,Feb 2019,FY2019,32.864216,-96.711178,
7-ELEVEN #35648,Routine,03/11/2019,80,3020,HAMPTON,,75212,8080 N CENTRAL EXPW STE #140,Mar 2019,FY2019,32.779065,-96.856457,
7-ELEVEN #36104,Routine,01/31/2019,96,1919,BRYAN,#102,75201,3130 W NORTHWEST HWY,Jan 2019,FY2019,39.086529,-94.479278,
7-ELEVEN #37014A,Routine,10/03/2019,87,1502,ELM,,75202,2350 WALNUT HILL LN,Oct 2019,FY2020,43.678378,-93.389082,
7-ELEVEN #38412,Routine,05/28/2019,96,2935,CAMP WISDOM,,75237,7632 CAMPBELL RD #309,May 2019,FY2019,32.662175,-96.868531,
7-ELEVEN #39787A,Routine,12/16/2019,97,1005,RIVERFRONT,,75207,10161 LAKE JUNE RD,Dec 2019,FY2020,32.765578,-96.802928,
7-ELEVEN CONVENIENCE #35412A,Routine,05/03/2019,68,2242,ZANG,,75224,4100 MERRELL RD,May 2019,FY2019,32.72096,-96.830217,
7-ELEVEN CONVENIENCE #35412A,Routine,04/04/2019,70,2242,ZANG,,75224,4100 W PLATINUM WAY,Apr 2019,FY2019,32.72096,-96.830217,
7-ELEVEN CONVENIENCE STORE #12214,Routine,12/17/2019,90,13608,PRESTON,,75240,2116 GREENVILLE AVE,Dec 2019,FY2020,32.933262,-96.803584,
7-ELEVEN CONVENIENCE STORE #12301A,Routine,11/25/2019,88,2911,LEDBETTER,,75211,7303 JOHN CARPENTER FRWY,Nov 2019,FY2020,32.694857,-96.771562,
7-ELEVEN CONVENIENCE STORE #12301B,Routine,11/25/2019,96,2911,LEDBETTER,,75211,7317 GASTON AVE #100,Nov 2019,FY2020,32.694857,-96.771562,
7-ELEVEN CONVENIENCE STORE #12301B,Routine,11/25/2019,100,2911,LEDBETTER,,75211,7324 GASTON AVE #115,Nov 2019,FY2020,32.694857,-96.771562,
