restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
2204,Routine,6/28/2019,95,2204,ELM,,75201,2204 ELM ST,6/1/2019,FY2019
3606,Routine,12/30/2019,97,3606,GREENVILLE,#B,75206,3606 GREENVILLE AVE #B,12/1/2019,FY2020
9999,Routine,12/20/2017,98,1011,WALTON WALKER,,75211,1011 S WALTON WALKER BLVD,12/1/2017,FY2018
13209,Routine,8/7/2019,96,13209,C F HAWN,,75253,13209 C F HAWN FRWY,8/1/2019,FY2019
44023,Routine,1/10/2020,81,4024,ROSS,,75204,4024 ROSS AVE,1/1/2020,FY2020
44023,Routine,12/18/2019,80,1102,KIEST,,75224,1102 W KIEST BLVD,12/1/2019,FY2020
44023,Routine,12/30/2019,93,5123,LOVERS,,75209,5123 W LOVERS LN,12/1/2019,FY2020
44023,Routine,8/20/2019,97,7815,GARLAND,,75218,7815 GARLAND RD,8/1/2019,FY2019
44023,Routine,4/15/2019,93,225,COLORADO,,75203,225 E COLORADO BLVD,4/1/2019,FY2019
44023,Routine,2/25/2019,84,10468,GARLAND,,75218,10468 GARLAND RD,2/1/2019,FY2019
44023,Routine,2/26/2019,90,4201,TRAVIS,,75205,4201 TRAVIS ST,2/1/2019,FY2019
44023,Routine,1/8/2019,90,2502,ROYAL,#101,75229,2502 ROYAL LN #101,1/1/2019,FY2019
44023,Routine,12/26/2018,98,10100,BRUTON,,75217,10100 BRUTON RD,12/1/2018,FY2019
44023,Routine,11/1/2018,92,2986,WALNUT HILL,,75229,2986 WALNUT HILL LN,11/1/2018,FY2019
"""LET'S DO LUNCH""",Routine,8/28/2019,100,1720,REGAL,#105,75235,1720 REGAL ROW #105,8/1/2019,FY2019
#1 CHAMPION BILLARD & GAMES,Routine,2/18/2019,92,9530,OVERLAKE,#D,75220,9530 OVERLAKE DR #D,2/1/2019,FY2019
$ STUFF & MORE,Routine,12/28/2018,93,4702,EAST GRAND,,75223,4702 EAST GRAND AVE,12/1/2018,FY2019
