restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
"""LET'S DO LUNCH""",Routine,8/28/19,100,1720,REGAL,#105,75235,1720 REGAL ROW #105,8/1/19,FY2019
$ STUFF & MORE,Routine,12/28/18,93,4702,EAST GRAND,,75223,4702 EAST GRAND AVE,12/1/18,FY2019
A & A MART,Routine,5/14/19,81,309,MARSALIS,,75203,309 S MARSALIS AVE,5/1/19,FY2019
A & J BAKERY,Routine,4/30/19,92,3515,OAK LAWN,,75219,3515 OAK LAWN AVE,4/1/19,FY2019
A & K MART,Routine,2/7/19,98,5723,SINGLETON,,75212,5723 SINGLETON BLVD,2/1/19,FY2019
A AND A'S QUICKSTOP,Routine,12/11/19,90,4307,DUNCANVILLE,#101,75236,4307 DUNCANVILLE RD #101,12/1/19,FY2020
A DONUT,Routine,12/20/18,91,2829,WEBB CHAPEL,102A,75238,2829 WEBB CHAPEL EXT 102A,12/1/18,FY2019
A LA CARTE CAKES AND CATE,Routine,12/4/19,80,2750,NORTHAVEN,#304,75220,2750 NORTHAVEN RD #304,12/1/19,FY2020
A LOUISIANA WING COMPANY,Routine,1/3/20,89,2860,LEDBETTER,,75216,2860 E LEDBETTER DR,1/1/20,FY2020
A MOTIONS FOOD MART,Routine,2/22/18,80,829,CORINTH ST,,75203,829 S CORINTH ST RD,2/1/18,FY2018
A PLUS GROCERY BEER & WINE,Routine,2/14/19,82,4407,MOCKINGBIRD,,75209,4407 W MOCKINGBIRD LN,2/1/19,FY2019
A SANDWICH SHOP,Routine,1/28/19,92,8333,DOUGLAS,#C140,75225,8333 DOUGLAS AVE #C140,1/1/19,FY2019
A STEP UP,Routine,2/27/19,97,3720,WALNUT HILL,#115,75229,3720 WALNUT HILL LN #115,2/1/19,FY2019
A TASTE OF WAYS CATERING,Routine,12/11/19,97,2949,KIEST,#A,75216,2949 E KIEST BLVD #A,12/1/19,FY2020
A TO Z FOOD MART,Routine,6/17/19,97,2120,ST AUGUSTINE,#130,75227,2120 N ST AUGUSTINE RD #130,6/1/19,FY2019
A W BROWN FELLOWSHIP CHURCH,Routine,10/23/19,98,6901,WESTMORELAND,,75237,6901 S WESTMORELAND RD,10/1/19,FY2020
A WOK EXPRESS,Routine,12/3/19,80,10349,FERGUSON,,75228,10349 FERGUSON RD,12/1/19,FY2020
A-MOTION FOOD MART,Routine,3/14/19,80,829,CORINTH,,75203,829 S CORINTH,3/1/19,FY2019
A-PLUS EXPRESS KIOSK,Routine,12/7/17,99,1500,MARILLA,1ST,75201,1500 MARILLA ST 1ST,12/1/17,FY2018
A.W. BROWN,Routine,11/11/19,98,5701,REDBIRD CENTER,,75115,5701 REDBIRD CENTER DR,11/1/19,FY2020
A&A PIZZA,Routine,9/30/19,92,900,CORINTH,,75203,900 S CORINTH ST,9/1/19,FY2019
A&R REVELES MEXICAN BAKERY,Routine,3/31/19,88,2610,SYLVAN,,75212,2610 SYLVAN AVE,3/1/19,FY2019
AA SHELL,Routine,2/15/19,90,11404,STEMMONS,,75229,11404 N STEMMONS FRWY,2/1/19,FY2019
AB WINGS,Routine,12/2/19,91,3628,FRANKFORD,#290,75287,3628 FRANKFORD RD #290,12/1/19,FY2020
ABACUS,Routine,3/19/19,81,4511,MCKINNEY,,75205,4511 MCKINNEY AVE,3/1/19,FY2019
