Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
A & A MART,Routine,5/14/2019,81,309,MARSALIS,,75203,309 S MARSALIS AVE,5/1/2019,FY2019,32.7444815,-96.8160463,Restaurant,3.8,717
A & J BAKERY,Routine,4/30/2019,92,3515,OAK LAWN,,75219,3515 OAK LAWN AVE,4/1/2019,FY2019,32.8123799,-96.8054238,Restaurant,4,60
A & K MART,Routine,2/7/2019,98,5723,SINGLETON,,75212,5723 SINGLETON BLVD,2/1/2019,FY2019,32.7789351,-96.9141423,Restaurant,4.3,23
A PLUS GROCERY BEER & WINE,Routine,2/14/2019,82,4407,MOCKINGBIRD,,75209,4407 W MOCKINGBIRD LN,2/1/2019,FY2019,32.836885,-96.830941,Restaurant,4.3,44
A SANDWICH SHOP,Routine,1/28/2019,92,8333,DOUGLAS,#C140,75225,8333 DOUGLAS AVE #C140,1/1/2019,FY2019,32.8640379,-96.8094783,Restaurant,5,1
A TASTE OF WAYS CATERING,Routine,12/11/2019,97,2949,KIEST,#A,75216,2949 E KIEST BLVD #A,12/1/2019,FY2020,32.7263344,-96.7864191,Restaurant,4.6,97
A TO Z FOOD MART,Routine,6/17/2019,97,2120,ST AUGUSTINE,#130,75227,2120 N ST AUGUSTINE RD #130,6/1/2019,FY2019,32.7493863,-96.6561699,Restaurant,4.4,96
A-PLUS EXPRESS KIOSK,Routine,12/7/2017,99,1500,MARILLA,1ST,75201,1500 MARILLA ST 1ST,12/1/2017,FY2018,32.7764068,-96.7970783,Restaurant,2.8,4
A&A PIZZA,Routine,9/30/2019,92,900,CORINTH,,75203,900 S CORINTH ST,9/1/2019,FY2019,32.7388803,-96.7983201,Restaurant,4.5,95
AB WINGS,Routine,12/2/2019,91,3628,FRANKFORD,#290,75287,3628 FRANKFORD RD #290,12/1/2019,FY2020,32.9955472,-96.8543978,Restaurant,4.5,202
ABACUS,Routine,3/19/2019,81,4511,MCKINNEY,,75205,4511 MCKINNEY AVE,3/1/2019,FY2019,32.8216282,-96.7885136,Restaurant,4.6,376
ABBY RESTAURANT,Routine,4/13/2019,97,10788,HARRY HINES,#G-08,75220,10788 HARRY HINES BLVD #G-08,4/1/2019,FY2019,32.8741288,-96.8828494,Restaurant,3.4,9
ABRAMS FOOD & BEER WINE,Routine,5/7/2019,88,12121,ABRAMS,,75243,12121 ABRAMS RD,5/1/2019,FY2019,32.913458,-96.735984,Restaurant,4,120
ABUGEDA GROCERY,Routine,11/14/2019,94,12101,GREENVILLE,#107,75243,12101 GREENVILLE AVE #107,11/1/2019,FY2020,32.9131512,-96.7461457,Restaurant,4.7,1096
ABYSSINIA MARKET,Routine,10/3/2019,93,9191,FOREST,#1A,75243,9191 FOREST LN #1A,10/1/2019,FY2020,32.9095931,-96.7437958,Restaurant,4.2,154
ACA LAS TORTAS,Routine,7/3/2019,80,4420,WORTH,,75246,4420 WORTH ST,7/1/2019,FY2019,32.7945863,-96.7713448,Restaurant,4.7,152
ADAM'S KABOB & GRILL,Routine,2/27/2019,94,8024,SPRING VALLEY,,75240,8024 SPRING VALLEY RD,2/1/2019,FY2019,32.9391932,-96.7681575,Restaurant,3.7,352
ADERRT GRILL & SALAD,Routine,8/29/2019,75,13410,PRESTON,#J,75240,13410 PRESTON RD #J,8/1/2019,FY2019,32.930472,-96.8024885,Restaurant,4.6,218
ADMIRALS CONCRETE FOUNDATION CLUB,Routine,2/19/2019,100,2500,VICTORY,,75205,2500 VICTORY AVE,2/1/2019,FY2019,32.7903143,-96.810148,Restaurant,1,1
AFRICAN KITCHEN,Routine,9/20/2019,89,4515,VILLAGE FAIR,#E-4,75224,4515 VILLAGE FAIR DR #E-4,9/1/2019,FY2019,32.6919514,-96.8287796,Restaurant,4.3,3
AGA'S BIRYANI & BBQ,Routine,10/28/2019,80,11276,HARRY HINES,#103,75229,11276 HARRY HINES BLVD #103,10/1/2019,FY2020,32.8925762,-96.8895164,Restaurant,4.3,248
AGU A RAMEN BISTRO,Routine,8/28/2019,88,5331,MOCKINGBIRD,125,75206,5331 E MOCKINGBIRD 125,8/1/2019,FY2019,32.8376887,-96.7762529,Restaurant,4.4,39
AGUAS FRESCAS Y MAS,Routine,11/20/2018,87,803,BEACON,#300,75223,803 S BEACON ST #300,11/1/2018,FY2019,32.796365,-96.7506275,Restaurant,4.3,144
AI GOODS,Routine,3/28/2018,92,4858,EAST GRAND,#A,75223,4858 EAST GRAND AVE #A,3/1/2018,FY2018,32.7874716,-96.7535956,Restaurant,3,1
AI SUSHI SAKE GRILL,Routine,9/26/2019,86,4123,CEDAR SPRINGS,#102,75219,4123 CEDAR SPRINGS RD #102,9/1/2019,FY2019,32.8116443,-96.8132487,Restaurant,4.2,19
AJOOMMA,Routine,1/10/2019,89,2240,ROYAL,#306,75229,2240 ROYAL LN #306,1/1/2019,FY2019,32.8944061,-96.903222,Restaurant,4.1,550
AJOOMMA SUNDAE,Routine,7/1/2019,81,2240,ROYAL,#304,75229,2240 ROYAL LN #304,7/1/2019,FY2019,32.8944061,-96.903222,Restaurant,4.1,550
AL BIERNAT'S NORTH,Routine,1/2/2020,86,5251,SPRING VALLEY,,75254,5251 SPRING VALLEY RD,1/1/2020,FY2020,32.9398121,-96.8192318,Restaurant,4.6,580
AL CHILE,Routine,12/31/2019,86,2643,HAMPTON,,75224,2643 S HAMPTON RD,12/1/2019,FY2020,32.7189178,-96.8574394,Restaurant,3.9,180
AL FOOD MART/ GROCERY,Routine,12/9/2019,93,7150,CHAUCER,#108,75232,7150 CHAUCER PL #108,12/1/2019,FY2020,32.6557784,-96.8458204,Restaurant,5,2
AL KABOB GRILL & CAFE,Follow-up,11/13/2019,80,11357,HARRY HINES,,75220,11357 HARRY HINES BLVD,11/1/2019,FY2020,32.8942196,-96.8914497,Restaurant,4.1,467
ALAMO DRAFTHOUSE BAR,Routine,12/3/2019,97,6770,ABRAMS,,75231,6770 ABRAMS,12/1/2019,FY2020,32.8673664,-96.7415379,Restaurant,3.9,276
ALDEEZ SPORTS BAR AND LOUNGE,Routine,8/29/2019,74,7879,SPRING VALLEY,#115,75254,7879 SPRING VALLEY RD #115,8/1/2019,FY2019,32.941281,-96.7697471,Restaurant,4,693
ALDI,Routine,12/2/2019,100,3632,FRANKFORD,,75287,3632 FRANKFORD RD,12/1/2019,FY2020,32.9956878,-96.8542551,Restaurant,5,6
ALDI,Routine,11/20/2018,93,2440,ILLINOIS,,75233,2440 W ILLINOIS AVE,11/1/2018,FY2019,32.7189639,-96.8581345,Restaurant,3.9,109
ALFONSO'S ITALIAN RESTAUR,Routine,10/11/2019,88,718,BUCKNER,#222,75218,718 N BUCKNER BLVD #222,10/1/2019,FY2020,32.8463456,-96.7108124,Restaurant,4.3,262
ALFREDO'S PIZZA & PASTA,Routine,9/18/2019,89,4043,TRINITY MILLS,#108,75252,4043 TRINITY MILLS RD #108,9/1/2019,FY2019,32.9877251,-96.8433495,Restaurant,2.3,4
ALL N GO,Routine,2/10/2019,89,3025,WEBB CHAPEL,,75220,3025 WEBB CHAPEL EXT,2/1/2019,FY2019,32.8587334,-96.8688169,Restaurant,4.4,43
ALOHA BAR-B-QUE,Routine,8/1/2019,80,5610,LEMMON,#A1,75209,5610 LEMMON AVE #A1,8/1/2019,FY2019,32.8290387,-96.8247515,Restaurant,4.1,1350
ALONTI CAFE,Routine,9/13/2019,86,1150,EMPIRE CENTRAL,#100,75247,1150 EMPIRE CENTRAL DR #100,9/1/2019,FY2019,32.8241284,-96.875156,Restaurant,4.5,25
ALONTI DELI,Routine,12/12/2018,96,901,MAIN,#C-10,75202,901 MAIN ST #C-10,12/1/2018,FY2019,32.7801861,-96.8034924,Restaurant,4.5,104
AMAZING ROSA SNACK STOP,Routine,2/23/2017,82,3662,CAMP WISDOM,C1054,75237,3662 W CAMP WISDOM RD STE C1054,2/1/2017,FY2017,32.6594139,-96.8775081,Restaurant,4,24
AMAZING THAI,Routine,1/5/2017,93,13021,COIT,#100,75240,13021 COIT RD #100,1/1/2017,FY2017,32.9260723,-96.7697262,Restaurant,4.5,619
AMAZING WRAP,Routine,12/5/2019,89,901,MAIN,C106A,75202,901 MAIN ST C106A,12/1/2019,FY2020,32.7801887,-96.803493,Restaurant,4.5,104
AMBALA GRILL,Routine,10/19/2016,85,11641,HARRY HINES,#201,75229,11641 HARRY HINES BLVD #201,10/1/2016,FY2017,32.9058526,-96.8951379,Restaurant,4.1,199
AMERICA'S BEST WINGS,Routine,9/3/2019,85,4333,GANNON,#113,75237,4333 GANNON LN #113,9/1/2019,FY2019,32.656946,-96.8899146,Restaurant,4.2,300
AMERICAN BUTCHERS,Routine,1/22/2019,93,920,HARWOOD,#156,75201,920 S HARWOOD ST #156,1/1/2019,FY2019,32.77747,-96.7900856,Restaurant,4.4,355
AMERICAN DOLLAR +,Routine,2/12/2019,97,9770,FOREST,,75243,9770 FOREST LN,2/1/2019,FY2019,32.9090126,-96.7190959,Restaurant,4.6,8
AMERICAN GIRL BOUTIQUES AND BISTRO,Routine,1/13/2020,96,13464,DALLAS,,75240,13464 DALLAS PKWY,1/1/2020,FY2020,32.9316646,-96.8211239,Restaurant,4.4,612
AMERICAS BEST WINGS,Routine,8/27/2019,90,655,ILLINOIS,#729,75224,655 W ILLINOIS AVE #729,8/1/2019,FY2019,32.7222271,-96.8316916,Restaurant,4.2,746
AMIGO SUPERMART,Routine,1/14/2020,80,3726,DAVIS,,75211,3726 W DAVIS ST,1/1/2020,FY2020,32.7492894,-96.8803255,Restaurant,3.8,19
AMIGO'S FAST FOOD,Routine,12/6/2019,80,7048,MILITARY,,75227,7048 MILITARY PKWY,12/1/2019,FY2020,32.7718363,-96.6978578,Restaurant,4.2,103
AMIGOS SNACKS,Routine,12/5/2019,81,1150,KIEST,#222,75224,1150 W KIEST BLVD #222,12/1/2019,FY2020,32.7050521,-96.8419257,Restaurant,4.4,104
AMNESIA,Routine,4/30/2019,97,1707,LAMAR,,75215,1707 S LAMAR ST,4/1/2019,FY2019,32.7659522,-96.7933112,Restaurant,4.4,293
ANDERSON'S BBQ,Routine,11/19/2019,92,5410,HARRY HINES,,75235,5410 HARRY HINES BLVD,11/1/2019,FY2020,32.814348,-96.8396469,Restaurant,4.6,784
ANDY'S FOOD MART,Routine,7/25/2019,80,2403,FITZHUGH,,75204,2403 N FITZHUGH AVE,7/1/2019,FY2019,32.8112481,-96.7826488,Restaurant,4.1,214
ANDY'S FROZEN CUSTARD,Routine,5/10/2019,82,9655,AUDELIA,,75238,9655 AUDELIA RD,5/1/2019,FY2019,32.877804,-96.7183381,Restaurant,4.7,530
ANGEL CHICKEN KITCHEN,Routine,1/6/2020,94,7632,CAMPBELL,#314,75248,7632 CAMPBELL RD #314,1/1/2020,FY2020,32.977151,-96.7686986,Restaurant,4.2,285
ANGELICA'S MEXICAN RESTAURANT,Routine,1/10/2020,91,951,BELTLINE,B,75253,951 S BELTLINE RD B,1/1/2020,FY2020,32.6880531,-96.5883907,Restaurant,4.2,239
ANGELO & VITO'S PIZZERIA,Routine,9/13/2019,93,4520,FRANKFORD,#400,75287,4520 FRANKFORD RD #400,9/1/2019,FY2019,32.9968941,-96.8310383,Restaurant,4.4,969
ANNA'S DELI,Routine,3/25/2019,80,7777,FOREST,C-A92,75230,7777 FOREST LN # C-A92,3/1/2019,FY2019,32.9115179,-96.7740574,Restaurant,4.3,13
ANOTHER BROKEN EGG CAFE,Routine,8/14/2019,95,4520,FRANKFORD,#100,75287,4520 FRANKFORD RD #100,8/1/2019,FY2019,32.9968941,-96.8310383,Restaurant,4.4,969
ANOTHER BROKEN EGG CAFE,Routine,12/27/2018,92,1152,BUCKNER,101H,75218,1152 N BUCKNER BLVD STE 101H,12/1/2018,FY2019,32.8342578,-96.7023517,Restaurant,4.5,551
ANTOJITOS AZTECA,Routine,5/20/2019,80,2838,CLARENDON,,75211,2838 W CLARENDON DR,5/1/2019,FY2019,32.7342805,-96.8682513,Restaurant,4.2,214
ANTOJITOS LUPITA PUPUSERIA Y TAQUERIA,Routine,7/22/2019,88,301,JEFFERSON,,75203,301 E JEFFERSON BLVD,7/1/2019,FY2019,32.7452846,-96.8206556,Restaurant,4.4,129
APATZINGAN TAQUERIA,Routine,7/18/2019,96,9732,WEBB CHAPEL,,75220,9732 WEBB CHAPEL RD,7/1/2019,FY2019,32.8687929,-96.8644098,Restaurant,4.2,55
APPLEBEE'S,Routine,9/19/2019,91,3426,ILLINOIS,,75211,3426 W ILLINOIS AVE,9/1/2019,FY2019,32.7198629,-96.8761909,Restaurant,4,2042
APPLEBEE'S NEIGHBORHOOD BAR & GRILL,Routine,11/22/2019,86,6464,NORTHWEST,510,75225,6464 W NORTHWEST HWY 510,11/1/2019,FY2020,32.8581213,-96.7529596,Restaurant,3.9,1767
APPLEBEE'S NEIGHBORHOOD BAR & GRILL,Routine,8/15/2019,96,3565,FRANKFORD,,75287,3565 FRANKFORD RD,8/1/2019,FY2019,32.9975869,-96.8570168,Restaurant,4,2249
AQUI ME QUEDO,Routine,12/9/2019,80,7840,LAKE JUNE,#B,75217,7840 LAKE JUNE RD STE #B,12/1/2019,FY2020,32.7338849,-96.6867439,Restaurant,4.1,37
ARBOR KITCHEN,Routine,9/18/2019,93,2101,STEMMONS,,75207,2101 N STEMMONS FRWY,9/1/2019,FY2019,32.800448,-96.8251538,Restaurant,5,1
ARBY'S,Routine,12/13/2019,98,5350,HARRY HINES,,75235,5350 HARRY HINES BLVD,12/1/2019,FY2020,32.8137954,-96.8389143,Restaurant,3.9,307
ARCO IRIS PRIVATE CLUB,Routine,6/19/2019,89,310,BECKLEY,,75203,310 S BECKLEY AVE,6/1/2019,FY2019,32.7430576,-96.8226517,Restaurant,3.7,458
ARELLANOS SNACK SHACK,Routine,1/28/2019,94,3525,ASH,#100,75223,3525 ASH LN #100,1/1/2019,FY2019,32.7815384,-96.7688489,Restaurant,4.2,17
AREPA TX,Routine,10/17/2019,86,5940,ROYAL,,75243,5940 ROYAL LN,10/1/2019,FY2020,32.8944415,-96.8054576,Restaurant,4.3,87
ARIF CAFE,Routine,12/4/2019,92,8367,PARK,,75231,8367 PARK LN,12/1/2019,FY2020,32.8713168,-96.7605451,Restaurant,4.9,20
