Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year,Lat,Long,Type,Rating,Rating Count
A MOTIONS FOOD MART,Routine,2/22/2018,80,829,CORINTH ST,,75203,829 S CORINTH ST RD,2/1/2018,FY2018,32.7394658,-96.7988631,Restaurant,,
A-MOTION FOOD MART,Routine,3/14/2019,80,829,CORINTH,,75203,829 S CORINTH,3/1/2019,FY2019,32.7394658,-96.7988631,Restaurant,,
B-Z SHOP,Routine,1/18/2019,91,7602,GREAT TRINITY FOREST,,75217,7602 GREAT TRINITY FOREST WAY,1/1/2019,FY2019,32.712311,-96.6912575,Restaurant,,
BAKERY,Routine,10/10/2019,97,4062,LBJ,,76244,4062 LBJ FRWY,10/1/2019,FY2020,32.9218256,-96.8431324,Cafe,,
BASKIN ROBBINS,Routine,12/18/2018,93,8411,PRESTON,#120,75225,8411 PRESTON RD #120,12/1/2018,FY2019,32.8650835,-96.8047058,Restaurant,,
BISTRO CAFE&GRILL,Routine,11/7/2019,84,1111,MOCKINGBIRD,#150,75247,1111 W MOCKINGBIRD LN #150,11/1/2019,FY2020,32.8188139,-96.8705727,Restaurant,,
BLUE BIRD,Routine,9/8/2018,99,11434,EMERALD,#106,75229,11434 EMERALD ST #106,9/1/2018,FY2018,32.8969751,-96.8987342,Restaurant,,
BOLSA,Routine,7/30/2019,85,614,DAVIS,#100,75208,614 W DAVIS ST #100,7/1/2019,FY2019,32.749346,-96.8319445,Restaurant,,
BOSS WINGS AND MORE,Routine,8/23/2019,80,4328,MARSALIS,#B,75216,4328 S MARSALIS AVE #B,8/1/2019,FY2019,32.6916019,-96.814313,Restaurant,,
BUCKNER FOOD MART,Routine,1/31/2019,100,1731,BUCKNER,,75217,1731 S BUCKNER BLVD,1/1/2019,FY2019,32.7423452,-96.6832973,Restaurant,,
BUNGALOW/BAR,Routine,6/30/2018,71,3121,ROSS,#100,75204,3121 ROSS AVE #100,6/1/2018,FY2018,32.7942047,-96.7910219,Restaurant,,
BUY LOW FOOD AND BEER,Routine,6/26/2019,82,9530,OVERLAKE,#A,75220,9530 OVERLAKE DR #A,6/1/2019,FY2019,32.8574828,-96.8692359,Restaurant,,
CALIFORNIA PIZZA KITCHEN,Routine,9/12/2019,90,8411,PRESTON,,75225,8411 PRESTON RD,9/1/2019,FY2019,32.8650835,-96.8047058,Restaurant,,
CANE'S DELI,Routine,9/5/2019,74,12810,HILLCREST,#107,75230,12810 HILLCREST RD #107,9/1/2019,FY2019,32.923762,-96.785173,Restaurant,,
CHALMITA,Routine,11/11/2018,94,2233,PRAIRIE CREEK,#L7,75227,2233 N PRAIRIE CREEK RD #L7,11/1/2018,FY2019,32.7506649,-96.6659837,Restaurant,,
CHAMOY LOCOS,Routine,3/14/2019,85,2605,FORT WORTH,#300,75211,2605 FORT WORTH AVE #300,3/1/2019,FY2019,32.7585797,-96.8649627,Restaurant,,
