restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year
MICKLE CHICKEN,Routine,10/30/2019,100,3203,CAMP WISDOM,,75237,3203 W CAMP WISDOM RD,Oct 2019,FY2020
DUNKIN DONUTS,Routine,10/30/2019,99,8008,HERB KELLEHER,C2174,75235,8008 HERB KELLEHER WAY STE# C2174,Oct 2019,FY2020
ARLINGTON PARK,Routine,04/24/2019,100,5606,WAYSIDE,,75235,5606 WAYSIDE DR,Apr 2019,FY2019
AMPHITHEATRE BLDG #L1,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019
A+ ACADEMY,Routine,10/30/2019,97,10327,RYLIE,,75217,10327 RYLIE RD,Oct 2019,FY2020
PIZZA PATRON,Routine,06/04/2019,99,3400,LOMBARDY,#104,75230,3400 LOMBARDY LN #104,Jun 2019,FY2019
LELIA P COWART SCHOOL,Routine,10/28/2019,99,1515,RAVINIA,,75211,1515 S RAVINIA DR,Oct 2019,FY2020
GUZICK ELEMENTARY,Routine,05/20/2019,99,5000,BERRIDGE,,75227,5000 BERRIDGE LN,May 2019,FY2019
MESQUITE ISD FOOD SERVICES,Routine,11/13/2019,96,253,LAWSON,,75253,253 W LAWSON RD,Nov 2019,FY2020
AMPHITHEATRE BLDG #L2,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019
VIDORRA,Routine,05/20/2019,98,2642,MAIN,#100,75226,2642 MAIN ST #100,May 2019,FY2019
SUNDRY SHOP,Routine,10/15/2019,97,1910,PACIFIC,#2050,75201,1910 PACIFIC AVE #2050,Oct 2019,FY2020
SUR LA TABLE,Routine,10/30/2019,99,6025,ROYAL,#130,75230,6025 ROYAL LN #130,Oct 2019,FY2020
PROVIDENCE CHRISTIAN SCHOOL,Routine,05/09/2019,100,5002,LOVERS,,75209,5002 W LOVERS LN,May 2019,FY2019
ST PIUS X PAROCHIAL,Routine,10/14/2019,97,3030,GUS THOMASSON,,75228,3030 GUS THOMASSON RD,Oct 2019,FY2020
PACIFIC DECK-DALLAS,Routine,01/17/2019,97,1910,PACIFIC,#1400,75201,1910 PACIFIC #1400,Jan 2019,FY2019
CANTINA LAREDO,Routine,10/30/2019,0,6025,ROYAL,#250,75230,6025 ROYAL LN #250,Oct 2019,FY2020
ADVENTURE LANDING,Routine,10/15/2019,97,17717,COIT,,75252,17717 COIT RD,Oct 2019,FY2020
MALONE'S COST PLUS #7 (PRODUCE),Routine,10/30/2019,95,333,ST AUGUSTINE,129,75217,333 S ST AUGUSTINE RD STE 129,Oct 2019,FY2020
LA HAWAIANA,Routine,02/14/2019,100,1639,BUCKNER,#104,75217,1639 S BUCKNER BLVD #104,Feb 2019,FY2019
15742 TEXAS FOOD MART,Routine,05/23/2019,99,2984,WHEATLAND,#E,75037,2984 W WHEATLAND RD #E,May 2019,FY2019
SNAP KITCHEN,Routine,05/31/2019,100,4115,SKILLMAN,,75206,4115 SKILLMAN ST,May 2019,FY2019
HARMONY MIDDLE SCHOOL CAFETERIA,Routine,10/17/2019,100,11995,FORESTGATE,,75243,11995 FORESTGATE DR,Oct 2019,FY2020
ADELLE TURNER SCHOOL,Routine,05/24/2019,100,5505,POLK,,75232,5505 S POLK ST,May 2019,FY2019
CHICAS BONITAS,Routine,10/27/2019,93,11044,HARRY HINES,,75229,11044 HARRY HINES BLVD,Oct 2019,FY2020
WILLIAMS FRIED CHICKEN,Routine,05/22/2019,100,2955,WALNUT HILL,,75229,2955 WALNUT HILL LN,May 2019,FY2019
ELK'S LODGE BAR #71,Routine,10/30/2019,100,8550,LULLWATER,,75238,8550 LULLWATER DR,Oct 2019,FY2020
ROTI MEDITERRANIAN GRILL,Routine,06/06/2019,96,8301,WESTCHESTER,,75225,8301 WESTCHESTER DR,Jun 2019,FY2019
C F CARR SCHOOL,Routine,11/14/2019,91,1952,BAYSIDE,,75212,1952 BAYSIDE ST,Nov 2019,FY2020
COSTCO WHOLESALE (FOOD COURT),Routine,06/06/2019,100,8055,CHURCHILL,,75251,8055 CHURCHILL WAY,Jun 2019,FY2019
SAN JACINTO ELEMENTARY,Routine,05/14/2019,100,7900,HUME,,75227,7900 HUME DR,May 2019,FY2019
WENDY'S #8604,Routine,05/15/2019,98,17989,MARSH,,75287,17989 MARSH LN,May 2019,FY2019
NOVA ACADEMY,Routine,05/09/2019,100,2800,PRICHARD,,75227,2800 PRICHARD LN,May 2019,FY2019
TERRACE #5009 GRILL ZONE 310,Routine,02/14/2019,100,2500,VICTORY,#5009,75201,2500 VICTORY AVE TERR #5009,Feb 2019,FY2019
PRIME NOW LLC,Routine,11/06/2019,100,6627,MAPLE,,75235,6627 MAPLE AVE,Nov 2019,FY2020
MCDONALDS,Routine,10/25/2019,100,8055,LOOP 12,,75217,8055 S LOOP 12,Oct 2019,FY2020
MEDIEVAL TIME (KITCHEN),Routine,04/25/2019,95,2021,STEMMONS,,75207,2021 N STEMMONS FRWY,Apr 2019,FY2019
ACADEMY,Routine,10/25/2019,100,3303,POTTER'S HOUSE,,75236,3303 POTTER'S HOUSE WAY,Oct 2019,FY2020
OUMI SUSHI @ SPROUTS 149,Routine,11/14/2019,100,7110,SKILLMAN,#150,75231,7110 SKILLMAN ST #150,Nov 2019,FY2020
ANN RICHARDS MIDDLE SCHOOL,Routine,05/21/2019,99,3831,PRAIRIE CREEK,,75227,3831 N PRAIRIE CREEK,May 2019,FY2019
MONTESSORI ACADEMY AT ONESIMO HERNANDEZ ELEMENTARY,Routine,10/16/2019,100,5555,MAPLE,,75235,5555 MAPLE AVE,Oct 2019,FY2020
INTER FAITH FAMILY SERVICES-DAYCARE II,Routine,11/14/2019,99,1651,MATILDA,,75206,1651 MATILDA ST,Nov 2019,FY2020
HIGHLAND SPRINGS - REUNION GRILL,Routine,10/23/2019,100,8060,FRANKFORD,,75252,8060 FRANKFORD RD,Oct 2019,FY2020
MARY BETHUNE ELM SCHOOL,Routine,10/22/2019,100,2205,DUNCANVILLE,,75224,2205 DUNCANVILLE RD,Oct 2019,FY2020
WELLMED SENIOR ACTIVITY CENTER,Routine,03/06/2019,99,3107,CAMP WISDOM,#175,75237,3107 W CAMP WISDOM RD #175,Mar 2019,FY2019
AMPHITHEATRE BLDG #R3,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,Jan 2019,FY2019
W W HARLEE ELEMENTARY,Routine,05/08/2019,100,1216,EIGHTH,,75203,1216 E EIGHTH ST,May 2019,FY2019
COVANCE INC,Routine,04/25/2019,100,1341,MOCKINGBIRD,#800E,75247,1341 W MOCKINGBIRD LN #800E,Apr 2019,FY2019
MCDONALDS,Routine,11/11/2019,96,2747,FORT WORTH,,75211,2747 FORT WORTH AVE,Nov 2019,FY2020
CIELO CREATIONS,Follow-up,03/27/2019,88,2711,HASKELL,#C3,75204,2711 N HASKELL AVE #C3,Mar 2019,FY2019
HOLIDAY INN EXPRESS & SUITES,Routine,04/03/2019,97,1521,INWOOD,,75247,1521 INWOOD RD,Apr 2019,FY2019
EXPRESS SHOP,Routine,10/30/2019,100,200,CRESCENT,#50-B,75201,200 CRESCENT CT #50-B,Oct 2019,FY2020
THE SALVATION ARMY - GYM CONCESSION,Routine,10/14/2019,100,8341,ELAM,,75217,8341 ELAM RD,Oct 2019,FY2020
KNIGHT ELEMENTARY,Routine,10/29/2019,99,2615,ANSON,,75235,2615 ANSON AVE,Oct 2019,FY2020
C F CARR SCHOOL,Routine,05/01/2019,97,1952,BAYSIDE,,75212,1952 BAYSIDE ST,May 2019,FY2019
WM B TRAVIS SCHOOL,Routine,05/23/2019,100,3001,MCKINNEY,,75204,3001 MCKINNEY AVE,May 2019,FY2019
COURTYARD BY MARRIOTT,Routine,06/06/2019,96,2930,FOREST,,75234,2930 FOREST LN,Jun 2019,FY2019
PINE CREEK MEDICAL CNTR,Routine,05/21/2019,100,9032,HARRY HINES,,75235,9032 HARRY HINES BLVD,May 2019,FY2019
BOOKER T WASHINGTON SCHOOL OF VISUAL AND PERFORMING ARTS,Routine,05/15/2019,97,2501,FLORA,,75201,2501 FLORA ST,May 2019,FY2019
