restaurant_name,inspection_type,inspection_date,inspection_score,zip_code,street_address,inspection_month,inspection_year
FRESHII,Routine,10/31/2018,96,75219,2414 VICTORY PARK LN,Oct 2018,FY2019
MICKLE CHICKEN,Routine,10/30/2019,100,75237,3203 W CAMP WISDOM RD,Oct 2019,FY2020
WORLD TRADE CENTER MARKET,Routine,11/03/2016,100,75207,2050 N STEMMONS FRWY,Nov 2016,FY2017
DUNKIN DONUTS,Routine,10/30/2019,99,75235,8008 HERB KELLEHER WAY STE# C2174,Oct 2019,FY2020
CANVAS HOTEL - 6TH FLOOR,Routine,06/11/2018,100,75215,1325 S LAMAR ST,Jun 2018,FY2018
ARLINGTON PARK,Routine,04/24/2019,100,75235,5606 WAYSIDE DR,Apr 2019,FY2019
AMPHITHEATRE BLDG #L1,Routine,01/31/2019,100,75210,1818 FIRST AVE,Jan 2019,FY2019
A+ ACADEMY,Routine,10/30/2019,97,75217,10327 RYLIE RD,Oct 2019,FY2020
PIZZA PATRON,Routine,06/04/2019,99,75230,3400 LOMBARDY LN #104,Jun 2019,FY2019
CORNER BAKERY,Routine,11/15/2018,100,75201,301 N MARKET ST #100,Nov 2018,FY2019
LELIA P COWART SCHOOL,Routine,10/28/2019,99,75211,1515 S RAVINIA DR,Oct 2019,FY2020
GUZICK ELEMENTARY,Routine,05/20/2019,99,75227,5000 BERRIDGE LN,May 2019,FY2019
MESQUITE ISD FOOD SERVICES,Routine,11/13/2019,96,75253,253 W LAWSON RD,Nov 2019,FY2020
AMPHITHEATRE BLDG #L2,Routine,01/31/2019,100,75210,1818 FIRST AVE,Jan 2019,FY2019
DE ZAVALA ELEMENTARY,Routine,11/14/2017,98,75212,3214 WINNETKA AVE,Nov 2017,FY2018
VIDORRA,Routine,05/20/2019,98,75226,2642 MAIN ST #100,May 2019,FY2019
SUNDRY SHOP,Routine,10/15/2019,97,75201,1910 PACIFIC AVE #2050,Oct 2019,FY2020
JERSEY MIKES SUBS,Routine,10/04/2018,89,75240,14060 DALLAS PKWY STE 400,Oct 2018,FY2019
SUR LA TABLE,Routine,10/30/2019,99,75230,6025 ROYAL LN #130,Oct 2019,FY2020
