Restaurant Name,Inspection Type,Inspection Date,Inspection Score,Street Number,Street Name,Street Unit,Zip,Street Address,Inspection Month,Inspection Year
FRESHII,Routine,10/31/2018,96,2414,VICTORY PARK,,75219,2414 VICTORY PARK LN,10/1/18,FY2019
MICKLE CHICKEN,Routine,10/30/2019,100,3203,CAMP WISDOM,,75237,3203 W CAMP WISDOM RD,10/1/19,FY2020
WORLD TRADE CENTER MARKET,Routine,11/03/2016,100,2050,STEMMONS,,75207,2050 N STEMMONS FRWY,11/1/16,FY2017
DUNKIN DONUTS,Routine,10/30/2019,99,8008,HERB KELLEHER,C2174,75235,8008 HERB KELLEHER WAY STE# C2174,10/1/19,FY2020
CANVAS HOTEL - 6TH FLOOR,Routine,06/11/2018,100,1325,LAMAR,,75215,1325 S LAMAR ST,06/1/18,FY2018
ARLINGTON PARK,Routine,04/24/2019,100,5606,WAYSIDE,,75235,5606 WAYSIDE DR,04/1/19,FY2019
AMPHITHEATRE BLDG,Routine,01/31/2019,100,1818,FIRST,,75210,1818 FIRST AVE,01/1/19,FY2019
A+ ACADEMY,Routine,10/30/2019,97,10327,RYLIE,,75217,10327 RYLIE RD,10/1/19,FY2020
PIZZA PATRON,Routine,06/04/2019,99,3400,LOMBARDY,#104,75230,3400 LOMBARDY LN #104,06/1/19,FY2019
CORNER BAKERY,Routine,11/15/2018,100,301,MARKET,#100,75201,301 N MARKET ST #100,11/1/18,FY2019
LELIA P COWART SCHOOL,Routine,10/28/2019,99,1515,RAVINIA,,75211,1515 S RAVINIA DR,10/1/19,FY2020
GUZICK ELEMENTARY,Routine,05/20/2019,99,5000,BERRIDGE,,75227,5000 BERRIDGE LN,05/1/19,FY2019
MESQUITE ISD FOOD SERVICES,Routine,11/13/2019,96,253,LAWSON,,75253,253 W LAWSON RD,11/1/19,FY2020
DE ZAVALA ELEMENTARY,Routine,11/14/2017,98,3214,WINNETKA,,75212,3214 WINNETKA AVE,11/1/17,FY2018
VIDORRA,Routine,05/20/2019,98,2642,MAIN,#100,75226,2642 MAIN ST #100,05/1/19,FY2019
SUNDRY SHOP,Routine,10/15/2019,97,1910,PACIFIC,#2050,75201,1910 PACIFIC AVE #2050,10/1/19,FY2020
JERSEY MIKES SUBS,Routine,10/04/2018,89,14060,DALLAS,400,75240,14060 DALLAS PKWY STE 400,10/1/18,FY2019
SUR LA TABLE,Routine,10/30/2019,99,6025,ROYAL,#130,75230,6025 ROYAL LN #130,10/1/19,FY2020
DOLLAR TREE,Routine,04/22/2017,99,9310,FOREST,#106,75243,9310 FOREST LN #106,04/1/17,FY2017
EL RANCHO,Routine,03/09/2017,96,4121,GASTON,,75246,4121 GASTON AVE,03/1/17,FY2017
PROVIDENCE CHRISTIAN SCHOOL,Routine,05/09/2019,100,5002,LOVERS,,75209,5002 W LOVERS LN,05/1/19,FY2019
POLLO TROPICAL,Routine,03/01/2017,98,12755,MIDWAY,,75244,12755 MIDWAY RD,03/1/17,FY2017
ST PIUS X PAROCHIAL,Routine,10/14/2019,97,3030,GUS THOMASSON,,75228,3030 GUS THOMASSON RD,10/1/19,FY2020
PACIFIC DECK-DALLAS,Routine,01/17/2019,97,1910,PACIFIC,#1400,75201,1910 PACIFIC #1400,01/1/19,FY2019
CANTINA LAREDO,Routine,10/30/2019,0,6025,ROYAL,#250,75230,6025 ROYAL LN #250,10/1/19,FY2020
ADVENTURE LANDING,Routine,10/15/2019,97,17717,COIT,,75252,17717 COIT RD,10/1/19,FY2020
MALONE'S COST PLUS,Routine,10/30/2019,95,333,ST AUGUSTINE,129,75217,333 S ST AUGUSTINE RD STE 129,10/1/19,FY2020
WALGREENS,Routine,05/15/2018,98,18207,MIDWAY,,75252,18207 MIDWAY RD,05/1/18,FY2018
LA HAWAIANA,Routine,02/14/2019,100,1639,BUCKNER,#104,75217,1639 S BUCKNER BLVD #104,02/1/19,FY2019
15742 TEXAS FOOD MART,Routine,05/23/2019,99,2984,WHEATLAND,#E,75037,2984 W WHEATLAND RD #E,05/1/19,FY2019
SNAP KITCHEN,Routine,05/31/2019,100,4115,SKILLMAN,,75206,4115 SKILLMAN ST,05/1/19,FY2019
HARMONY MIDDLE SCHOOL CAFETERIA,Routine,10/17/2019,100,11995,FORESTGATE,,75243,11995 FORESTGATE DR,10/1/19,FY2020
ADELLE TURNER SCHOOL,Routine,05/24/2019,100,5505,POLK,,75232,5505 S POLK ST,05/1/19,FY2019
CHICAS BONITAS,Routine,10/27/2019,93,11044,HARRY HINES,,75229,11044 HARRY HINES BLVD,10/1/19,FY2020
BREAD ZEPPELIN,Routine,09/11/2017,97,1300,MAIN,,75202,1300 MAIN ST,09/1/17,FY2017
WILLIAMS FRIED CHICKEN,Routine,05/22/2019,100,2955,WALNUT HILL,,75229,2955 WALNUT HILL LN,05/1/19,FY2019
